
Int Temp 1	Int Temp 2	Int Temp 3	Int Temp 4	Int Temp 5	Ext Temp 1	Ext Temp 2	Pressure	Humidity	UDOO Temo	Spec Temp	ADS Temp	Time
0	0	32638	0	-56	-83	32638	2097152	0	48	29	22	Tue Apr 17 11:18:51 2018
0	0	0	0	0	0	0	0	0	48	29	22	Tue Apr 17 11:18:52 2018
0	0	0	0	0	0	0	0	0	48	29	22	Tue Apr 17 11:18:53 2018
0	0	0	0	0	0	0	0	0	48	29	22	Tue Apr 17 11:18:54 2018

Int Temp 1	Int Temp 2	Int Temp 3	Int Temp 4	Int Temp 5	Ext Temp 1	Ext Temp 2	Pressure	Humidity	UDOO Temo	Spec Temp	ADS Temp	Time

Int Temp 1	Int Temp 2	Int Temp 3	Int Temp 4	Int Temp 5	Ext Temp 1	Ext Temp 2	Pressure	Humidity	UDOO Temo	Spec Temp	ADS Temp	Time

Int Temp 1	Int Temp 2	Int Temp 3	Int Temp 4	Int Temp 5	Ext Temp 1	Ext Temp 2	Pressure	Humidity	UDOO Temo	Spec Temp	ADS Temp	Time
27	0	0	0	0	0	0	0	0	44	0	0	Thu Apr 19 18:43:10 2018
27	28	31	27	28	0	0	-44	26	44	0	0	Thu Apr 19 18:43:11 2018
27	28	31	27	28	0	0	-42	26	44	0	0	Thu Apr 19 18:43:12 2018
27	28	31	27	28	0	0	-40	26	44	0	0	Thu Apr 19 18:43:13 2018
27	28	31	27	28	0	0	-40	26	44	0	0	Thu Apr 19 18:43:14 2018
27	28	31	27	28	0	0	-37	26	44	0	0	Thu Apr 19 18:43:15 2018
27	28	31	27	28	0	0	-43	26	44	0	0	Thu Apr 19 18:43:16 2018
27	28	31	27	28	0	0	-44	26	44	0	0	Thu Apr 19 18:43:17 2018
27	28	31	27	28	0	0	-44	26	44	0	0	Thu Apr 19 18:43:18 2018
27	28	31	27	28	0	0	-42	26	44	0	0	Thu Apr 19 18:43:48 2018
27	28	31	27	28	0	0	-35	26	45	0	0	Thu Apr 19 18:43:49 2018
27	28	31	27	28	0	0	-34	26	45	0	0	Thu Apr 19 18:43:50 2018
27	28	31	27	28	0	0	-39	26	44	0	0	Thu Apr 19 19:00:52 2018
26	27	31	27	28	0	0	-45	25	45	0	0	Thu Apr 19 19:00:54 2018
26	27	31	27	28	0	0	-40	25	45	0	0	Thu Apr 19 19:00:56 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:26:59 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:01 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:03 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:05 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:07 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:10 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:12 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:14 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:16 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:18 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:20 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:22 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:24 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:26 2018
0	0	0	0	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:28 2018
25	26	25	25	0	22	24	0	0	36	0	0	Thu Apr 19 20:27:53 2018
25	26	25	25	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:55 2018
25	26	25	25	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:57 2018
25	26	25	25	0	0	0	0	0	36	0	0	Thu Apr 19 20:27:59 2018
25	26	25	25	0	0	0	0	0	36	0	0	Thu Apr 19 20:28:01 2018
25	26	25	25	0	22	24	0	0	36	0	0	Thu Apr 19 20:28:03 2018
25	26	25	25	0	0	0	0	0	37	0	0	Thu Apr 19 20:28:05 2018
25	26	25	25	0	0	0	0	0	36	0	0	Thu Apr 19 20:28:07 2018
25	26	25	25	0	0	0	0	0	37	0	0	Thu Apr 19 20:28:09 2018
25	26	25	25	0	0	0	0	0	37	0	0	Thu Apr 19 20:28:11 2018
25	26	25	25	0	0	0	0	0	37	0	0	Thu Apr 19 20:28:14 2018
25	26	25	25	0	0	0	0	0	36	0	0	Thu Apr 19 20:28:16 2018
25	26	25	25	0	22	0	0	0	37	0	0	Thu Apr 19 20:28:18 2018
25	26	25	25	0	22	0	0	0	37	0	0	Thu Apr 19 20:28:20 2018
25	26	25	25	0	0	0	0	0	37	0	0	Thu Apr 19 20:28:22 2018
25	26	25	25	0	0	0	0	0	37	0	0	Thu Apr 19 20:28:24 2018
25	26	25	25	0	21	24	0	0	39	0	0	Thu Apr 19 20:30:06 2018
25	26	25	25	0	21	24	0	0	39	0	0	Thu Apr 19 20:30:08 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:36 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:38 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:40 2018
25	26	26	25	0	21	0	0	0	40	0	0	Thu Apr 19 20:31:42 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:44 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:46 2018
25	26	26	25	0	21	0	0	0	40	0	0	Thu Apr 19 20:31:48 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:51 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:31:58 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:00 2018
25	26	26	25	0	21	24	0	0	40	0	0	Thu Apr 19 20:32:02 2018
25	26	26	25	0	0	24	0	0	40	0	0	Thu Apr 19 20:32:04 2018
25	26	26	25	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:06 2018
25	26	26	25	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:08 2018
0	0	0	0	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:10 2018
0	0	0	0	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:12 2018
0	0	0	0	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:14 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:16 2018
0	0	0	0	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:18 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:20 2018
0	0	0	0	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:22 2018
0	0	0	0	0	0	0	0	0	40	0	0	Thu Apr 19 20:32:24 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:26 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:29 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:31 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:33 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:35 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:37 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:39 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:41 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:43 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:45 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:47 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:49 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:51 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:53 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:55 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:57 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:32:59 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:01 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:04 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:06 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:08 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:10 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:12 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:14 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:16 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:18 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:20 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:22 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:24 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:26 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:28 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:30 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:32 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:34 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:37 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:39 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:41 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:43 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:45 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:47 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:49 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:51 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:53 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:55 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:57 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:33:59 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:01 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:03 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:05 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:07 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:10 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:12 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:14 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:16 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:18 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:20 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:22 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:24 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:26 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:28 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:30 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:32 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:34 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:36 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:38 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:40 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:43 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:45 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:47 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:49 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:51 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:53 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:55 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:34:57 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:35:24 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:35:26 2018
0	0	0	0	0	0	0	0	0	39	0	0	Thu Apr 19 20:35:28 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:41 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:43 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:45 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:47 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:49 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:51 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:53 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:56 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:37:58 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:00 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:02 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:04 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:06 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:08 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:10 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:12 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:14 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:16 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:18 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:20 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:22 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:24 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:26 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:28 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:30 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:32 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:34 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:37 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:39 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:41 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:43 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:45 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:47 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:49 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:51 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:53 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:55 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:57 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:38:59 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:01 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:03 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:05 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:07 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:09 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:11 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:13 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:16 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:18 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:20 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:22 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:24 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:26 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:28 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:30 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:32 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:34 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:36 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:38 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:40 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:42 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:44 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:46 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:49 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:51 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:53 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:55 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:39:57 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:42 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:44 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:46 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:49 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:51 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:53 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:55 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:57 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:40:59 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:01 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:03 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:05 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:07 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:09 2018
